,Product,Stage,SecSite,Region,Presentation,Year,Site,%Protected,TotalRev,RevProtected,RevUnprotected,Target,Actual
945,Ingredient_P,In Progress,EU,EU,Vial,2022,ABR,0.65,15000,9750,5250,4,2.5
1197,Ingredient_S,Pre-production,EU,EU,Blister,2019,AML23,0.25,15000,3750,11250,4,2.5
1270,Ingredient_T,Pre-production,ICON - LACAN,ICON - LACAN,Vial,2022,AML14,0.8,15000,12000,3000,4,2.5
946,Ingredient_P,In Progress,EU,EU,Vial,2023,ABR,0.65,15000,9750,5250,4,2.5
298,Ingredient_F,In Progress,ICON - LACAN,ICON - LACAN,Auto Injector,2021,AML1,0.25,15000,3750,11250,4,4.0
449,Ingredient_J,In Progress,EU,EU,Lyo Vial Kit,2019,ABR,0.65,15000,9750,5250,4,4.0
806,Ingredient_N,In Progress,EU,EU,Vial,2023,ABR,0.65,15000,9750,5250,4,2.5
933,Ingredient_P,Pre-production,US,US,Vial,2020,AML14,0.8,15000,12000,3000,4,2.5
357,Ingredient_H,Pre-production,JAPAC,JAPAC,Syringe,2019,"Patheon, IT",0.6,15000,9000,6000,4,4.0
65,Ingredient_B,In Progress,EU,EU,Auto Injector,2021,ABR,0.65,15000,9750,5250,4,4.0
202,Ingredient_D,Post-production,Global,Global,Global Post-production,2020,"Lonza, UK",1.0,15000,15000,0,4,4.0
901,Ingredient_O,In Progress,ICON - TMEA,ICON - TMEA,Lyo Vial Kit,2023,ABR,0.65,15000,9750,5250,4,2.5
730,Ingredient_M,In Progress,JAPAC,JAPAC,Syringe,2022,AML1,0.25,15000,3750,11250,4,2.5
431,Ingredient_J,Pre-production,ICON - TMEA,ICON - TMEA,Lyo Vial Kit,2023,ADL,1.0,15000,15000,0,4,4.0
994,Ingredient_Q,Pre-production,ICON - TMEA,ICON - TMEA,Vial,2021,AML14,0.8,15000,12000,3000,4,2.5
590,Ingredient_K,In Progress,JAPAC,JAPAC,50cc,2021,AML1,0.25,15000,3750,11250,4,4.0
78,Ingredient_B,In Progress,ICON - LACAN,ICON - LACAN,Syringe,2021,AML1,0.25,15000,3750,11250,4,4.0
1151,Ingredient_R,In Progress,EU,EU,Syringe,2023,ABR,0.65,15000,9750,5250,4,2.5
683,Ingredient_M,Pre-production,JAPAC,JAPAC,Syringe,2020,AML14,0.8,15000,12000,3000,4,2.5
771,Ingredient_N,Pre-production,ICON - TMEA,ICON - TMEA,Vial,2023,AML14,0.8,15000,12000,3000,4,2.5
427,Ingredient_J,Pre-production,ICON - TMEA,ICON - TMEA,Lyo Vial Kit,2019,ADL,1.0,15000,15000,0,4,4.0
686,Ingredient_M,Pre-production,JAPAC,JAPAC,Syringe,2023,AML14,0.8,15000,12000,3000,4,2.5
125,Ingredient_C,Pre-production,JAPAC,JAPAC,Syringe,2023,AML14,0.8,15000,12000,3000,4,4.0
1131,Ingredient_R,Pre-production,US,US,Syringe,2023,AML14,0.8,15000,12000,3000,4,2.5
587,Ingredient_K,In Progress,JAPAC,JAPAC,30cc,2023,AML1,0.25,15000,3750,11250,4,4.0
994,Ingredient_Q,Pre-production,ICON - TMEA,ICON - TMEA,Vial,2021,AML14,0.8,15000,12000,3000,4,2.5
889,Ingredient_O,In Progress,EU,EU,Lyo Vial Kit,2021,ABR,0.65,15000,9750,5250,4,2.5
1005,Ingredient_Q,Pre-production,JAPAC,JAPAC,Vial,2022,AML14,0.8,15000,12000,3000,4,2.5
164,Ingredient_C,In Progress,JAPAC,JAPAC,Syringe,2022,AML1,0.25,15000,3750,11250,4,4.0
123,Ingredient_C,Pre-production,JAPAC,JAPAC,Syringe,2021,AML14,0.8,15000,12000,3000,4,4.0
1156,Ingredient_R,In Progress,ICON - LACAN,ICON - LACAN,Auto Injector,2023,AML1,0.25,15000,3750,11250,4,2.5
60,Ingredient_B,Post-production,Global,Global,Global Post-production,2021,ARI5,1.0,15000,15000,0,4,4.0
732,Ingredient_M,In Progress,US,US,OnPro,2019,AML1,0.25,15000,3750,11250,4,2.5
1300,Ingredient_T,In Progress,ICON - LACAN,ICON - LACAN,Vial,2022,AML1,0.25,15000,3750,11250,4,2.5
646,Ingredient_L,In Progress,ICON - TMEA,ICON - TMEA,Vial,2023,ABR,0.65,15000,9750,5250,4,4.0
626,Ingredient_L,Pre-production,US,US,Vial,2020,AML14,0.8,15000,12000,3000,4,4.0
28,Ingredient_B,Pre-production,EU,EU,Syringe,2023,AML14,0.8,15000,12000,3000,4,4.0
806,Ingredient_N,In Progress,EU,EU,Vial,2023,ABR,0.65,15000,9750,5250,4,2.5
953,Ingredient_P,In Progress,ICON - TMEA,ICON - TMEA,Vial,2020,ABR,0.65,15000,9750,5250,4,2.5
371,Ingredient_H,Post-production,Global,Global,Global Post-production,2023,ARI5,1.0,15000,15000,0,4,4.0
59,Ingredient_B,Post-production,Global,Global,Global Post-production,2020,ATO23,1.0,15000,15000,0,4,4.0
224,Ingredient_D,In Progress,JAPAC,JAPAC,Lyo Vial Kit,2022,Bushu,0.35,15000,5250,9750,4,4.0
305,Ingredient_F,In Progress,ICON - LACAN,ICON - LACAN,Lyo Vial Kit,2023,AML1,0.25,15000,3750,11250,4,4.0
1314,Ingredient_T,In Progress,US,US,Vial,2021,AML1,0.25,15000,3750,11250,4,2.5
1124,Ingredient_R,Pre-production,US,US,Pushtronex,2021,"Patheon, IT",0.6,15000,9000,6000,4,2.5
1063,Ingredient_Q,In Progress,US,US,Syringe,2020,AML1,0.25,15000,3750,11250,4,2.5
399,Ingredient_I,Pre-production,US,US,Vial,2020,AWM,0.98,15000,14700,300,4,4.0
136,Ingredient_C,Post-production,Global,Global,Global Post-production,2019,AML6,0.25,15000,3750,11250,4,4.0
835,Ingredient_N,In Progress,JAPAC,JAPAC,Vial,2022,AML1,0.25,15000,3750,11250,4,2.5
146,Ingredient_C,In Progress,EU,EU,Syringe,2019,ABR,0.65,15000,9750,5250,4,4.0
757,Ingredient_N,Pre-production,ICON - LACAN,ICON - LACAN,Vial,2019,AML14,0.8,15000,12000,3000,4,2.5
726,Ingredient_M,In Progress,ICON - TMEA,ICON - TMEA,Syringe,2023,ABR,0.65,15000,9750,5250,4,2.5
1254,Ingredient_S,In Progress,JAPAC,JAPAC,Blister,2021,"PCI, UK",0.3,15000,4500,10500,4,2.5
1272,Ingredient_T,Pre-production,ICON - TMEA,ICON - TMEA,Vial,2019,AML14,0.8,15000,12000,3000,4,2.5
756,Ingredient_N,Pre-production,ICON - LACAN,ICON - LACAN,Syringe,2023,AML14,0.8,15000,12000,3000,4,2.5
256,Ingredient_F,Pre-production,ICON - LACAN,ICON - LACAN,Auto Injector,2019,AML14,0.8,15000,12000,3000,4,4.0
173,Ingredient_C,In Progress,US,US,Vial,2021,AML1,0.25,15000,3750,11250,4,4.0
174,Ingredient_C,In Progress,US,US,Vial,2022,AML1,0.25,15000,3750,11250,4,4.0
1052,Ingredient_Q,In Progress,JAPAC,JAPAC,Syringe,2019,AML1,0.25,15000,3750,11250,4,2.5
1115,Ingredient_R,Pre-production,JAPAC,JAPAC,Pushtronex,2023,"Patheon, IT",0.6,15000,9000,6000,4,2.5
852,Ingredient_O,Pre-production,EU,EU,Lyo Vial or Lyo Vial Kit; 125ug SKU,2019,"Patheon, IT",0.6,15000,9000,6000,4,2.5
409,Ingredient_I,In Progress,EU,EU,Vial,2020,LDC,0.35,15000,5250,9750,4,4.0
693,Ingredient_M,Pre-production,US,US,Syringe,2020,AML14,0.8,15000,12000,3000,4,2.5
360,Ingredient_H,Pre-production,JAPAC,JAPAC,Syringe,2022,"Patheon, IT",0.6,15000,9000,6000,4,4.0
1171,Ingredient_R,In Progress,JAPAC,JAPAC,Auto Injector,2019,Bushu,0.35,15000,5250,9750,4,2.5
13,Ingredient_A,In Progress,JAPAC,JAPAC,Auto Injector,2023,AML1,0.25,15000,3750,11250,4,4.0
764,Ingredient_N,Pre-production,ICON - TMEA,ICON - TMEA,Syringe,2021,AML14,0.8,15000,12000,3000,4,2.5
155,Ingredient_C,In Progress,ICON - LACAN,ICON - LACAN,Syringe,2023,AML1,0.25,15000,3750,11250,4,4.0
196,Ingredient_D,Pre-production,US,US,Lyo Vial Kit,2019,ADL PM2,1.0,15000,15000,0,4,4.0
192,Ingredient_D,Pre-production,JAPAC,JAPAC,Lyo Vial Kit,2020,ADL PM2,1.0,15000,15000,0,4,4.0
1249,Ingredient_S,In Progress,ICON - TMEA,ICON - TMEA,Blister,2021,"PCI, UK",0.3,15000,4500,10500,4,2.5
163,Ingredient_C,In Progress,JAPAC,JAPAC,Syringe,2021,AML1,0.25,15000,3750,11250,4,4.0
791,Ingredient_N,Pre-production,US,US,Vial,2023,AML14,0.8,15000,12000,3000,4,2.5
1267,Ingredient_T,Pre-production,ICON - LACAN,ICON - LACAN,Vial,2019,AML14,0.8,15000,12000,3000,4,2.5
117,Ingredient_C,Pre-production,ICON - TMEA,ICON - TMEA,Syringe,2020,AML14,0.8,15000,12000,3000,4,4.0
157,Ingredient_C,In Progress,ICON - TMEA,ICON - TMEA,Syringe,2020,ABR,0.65,15000,9750,5250,4,4.0
412,Ingredient_I,In Progress,EU,EU,Vial,2023,LDC,0.35,15000,5250,9750,4,4.0
1189,Ingredient_R,In Progress,US,US,Pushtronex,2021,"PCI, US",0.3,15000,4500,10500,4,2.5
1122,Ingredient_R,Pre-production,US,US,Pushtronex,2019,"Patheon, IT",0.6,15000,9000,6000,4,2.5
852,Ingredient_O,Pre-production,EU,EU,Lyo Vial or Lyo Vial Kit; 125ug SKU,2019,"Patheon, IT",0.6,15000,9000,6000,4,2.5
40,Ingredient_B,Pre-production,ICON - TMEA,ICON - TMEA,Auto Injector,2022,AML14,0.8,15000,12000,3000,4,4.0
1000,Ingredient_Q,Pre-production,JAPAC,JAPAC,Syringe,2022,AML14,0.8,15000,12000,3000,4,2.5
411,Ingredient_I,In Progress,EU,EU,Vial,2022,LDC,0.35,15000,5250,9750,4,4.0
561,Ingredient_K,In Progress,ICON - LACAN,ICON - LACAN,10cc,2022,AML1,0.25,15000,3750,11250,4,4.0
977,Ingredient_Q,Pre-production,ICON - LACAN,ICON - LACAN,Syringe,2019,AML14,0.8,15000,12000,3000,4,2.5
1089,Ingredient_R,Pre-production,ICON - LACAN,ICON - LACAN,Auto Injector,2021,AML14,0.8,15000,12000,3000,4,2.5
998,Ingredient_Q,Pre-production,JAPAC,JAPAC,Syringe,2020,AML14,0.8,15000,12000,3000,4,2.5
993,Ingredient_Q,Pre-production,ICON - TMEA,ICON - TMEA,Vial,2020,AML14,0.8,15000,12000,3000,4,2.5
303,Ingredient_F,In Progress,ICON - LACAN,ICON - LACAN,Lyo Vial Kit,2021,AML1,0.25,15000,3750,11250,4,4.0
139,Ingredient_C,Post-production,Global,Global,Global Post-production,2022,AML6,0.25,15000,3750,11250,4,4.0
541,Ingredient_K,Post-production,Global,Global,Global Post-production,2022,ASM2,0.4,15000,6000,9000,4,4.0
1083,Ingredient_R,Pre-production,EU,EU,Syringe,2020,AML14,0.8,15000,12000,3000,4,2.5
532,Ingredient_K,Pre-production,US,US,30cc,2023,ADL,1.0,15000,15000,0,4,4.0
240,Ingredient_E,Pre-production,US,US,Solution/Ampule,2023,"Catalent, IL",0.98,15000,14700,300,4,4.0
642,Ingredient_L,In Progress,ICON - LACAN,ICON - LACAN,Vial,2022,AML1,0.25,15000,3750,11250,4,4.0
153,Ingredient_C,In Progress,ICON - LACAN,ICON - LACAN,Syringe,2021,AML1,0.25,15000,3750,11250,4,4.0
728,Ingredient_M,In Progress,JAPAC,JAPAC,Syringe,2020,AML1,0.25,15000,3750,11250,4,2.5
833,Ingredient_N,In Progress,JAPAC,JAPAC,Vial,2020,AML1,0.25,15000,3750,11250,4,2.5
1142,Ingredient_R,In Progress,EU,EU,Pushtronex,2019,"PCI, US",0.3,15000,4500,10500,4,2.5
482,Ingredient_K,Pre-production,EU,EU,30cc,2023,ADL,1.0,15000,15000,0,4,4.0
265,Ingredient_F,Pre-production,ICON - LACAN,ICON - LACAN,Lyo Vial Kit,2023,AML14,0.8,15000,12000,3000,4,4.0
1063,Ingredient_Q,In Progress,US,US,Syringe,2020,AML1,0.25,15000,3750,11250,4,2.5
477,Ingredient_K,Pre-production,EU,EU,10cc,2023,"Patheon, NC",0.6,15000,9000,6000,4,4.0
989,Ingredient_Q,Pre-production,ICON - TMEA,ICON - TMEA,Syringe,2021,AML14,0.8,15000,12000,3000,4,2.5
648,Ingredient_L,In Progress,JAPAC,JAPAC,Vial,2020,AML1,0.25,15000,3750,11250,4,4.0
760,Ingredient_N,Pre-production,ICON - LACAN,ICON - LACAN,Vial,2022,AML14,0.8,15000,12000,3000,4,2.5
1069,Ingredient_Q,In Progress,US,US,Vial,2021,AML1,0.25,15000,3750,11250,4,2.5
585,Ingredient_K,In Progress,JAPAC,JAPAC,30cc,2021,AML1,0.25,15000,3750,11250,4,4.0
47,Ingredient_B,Pre-production,JAPAC,JAPAC,Auto Injector,2020,AML14,0.8,15000,12000,3000,4,4.0
207,Ingredient_D,In Progress,EU,EU,Lyo Vial Kit,2020,ABR,0.65,15000,9750,5250,4,4.0
637,Ingredient_L,In Progress,EU,EU,Vial,2022,ABR,0.65,15000,9750,5250,4,4.0
853,Ingredient_O,Pre-production,EU,EU,Lyo Vial or Lyo Vial Kit; 125ug SKU,2020,"Patheon, IT",0.6,15000,9000,6000,4,2.5
120,Ingredient_C,Pre-production,ICON - TMEA,ICON - TMEA,Syringe,2023,AML14,0.8,15000,12000,3000,4,4.0
548,Ingredient_K,In Progress,EU,EU,30cc,2019,ABR,0.65,15000,9750,5250,4,4.0
575,Ingredient_K,In Progress,ICON - TMEA,ICON - TMEA,50cc,2021,Sharp,0.35,15000,5250,9750,4,4.0
867,Ingredient_O,Pre-production,JAPAC,JAPAC,Lyo Vial Kit,2019,ADL PM2,1.0,15000,15000,0,4,2.5
588,Ingredient_K,In Progress,JAPAC,JAPAC,50cc,2019,AML1,0.25,15000,3750,11250,4,4.0
1208,Ingredient_S,Pre-production,ICON - LACAN,ICON - LACAN,Bottle,2020,"Patheon, CA",0.6,15000,9000,6000,4,2.5
940,Ingredient_P,Post-production,Global,Global,Global Post-production,2022,"Bachem, CH",1.0,15000,15000,0,4,2.5
898,Ingredient_O,In Progress,ICON - TMEA,ICON - TMEA,Lyo Vial Kit,2020,ABR,0.65,15000,9750,5250,4,2.5
406,Ingredient_I,Post-production,Global,Global,Global Post-production,2022,AWM,1.0,15000,15000,0,4,4.0
724,Ingredient_M,In Progress,ICON - TMEA,ICON - TMEA,Syringe,2021,ABR,0.65,15000,9750,5250,4,2.5
101,Ingredient_C,Pre-production,EU,EU,Auto Injector,2019,AML14,0.8,15000,12000,3000,4,4.0
498,Ingredient_K,Pre-production,ICON - LACAN,ICON - LACAN,50cc,2019,"Patheon, NC",0.6,15000,9000,6000,4,4.0
1253,Ingredient_S,In Progress,JAPAC,JAPAC,Blister,2020,"PCI, UK",0.3,15000,4500,10500,4,2.5
592,Ingredient_K,In Progress,JAPAC,JAPAC,50cc,2023,AML1,0.25,15000,3750,11250,4,4.0
197,Ingredient_D,Pre-production,US,US,Lyo Vial Kit,2020,ADL PM2,1.0,15000,15000,0,4,4.0
365,Ingredient_H,Pre-production,US,US,Syringe,2022,"Patheon, IT",0.6,15000,9000,6000,4,4.0
97,Ingredient_B,In Progress,JAPAC,JAPAC,Syringe,2022,AML1,0.25,15000,3750,11250,4,4.0
176,Ingredient_D,Pre-production,EU,EU,Lyo Vial Kit,2019,ADL PM2,1.0,15000,15000,0,4,4.0
846,Ingredient_N,In Progress,US,US,Vial,2023,AML1,0.25,15000,3750,11250,4,2.5
161,Ingredient_C,In Progress,JAPAC,JAPAC,Syringe,2019,AML1,0.25,15000,3750,11250,4,4.0
108,Ingredient_C,Pre-production,EU,EU,Syringe,2021,AML14,0.8,15000,12000,3000,4,4.0
1015,Ingredient_Q,Pre-production,US,US,Vial,2022,AML14,0.8,15000,12000,3000,4,2.5
1051,Ingredient_Q,In Progress,ICON - TMEA,ICON - TMEA,Vial,2023,ABR,0.65,15000,9750,5250,4,2.5
341,Ingredient_G,In Progress,US,US,Vial,2019,AML1,0.25,15000,3750,11250,4,4.0
1216,Ingredient_S,Pre-production,ICON - TMEA,ICON - TMEA,Blister,2023,AML23,0.25,15000,3750,11250,4,2.5
531,Ingredient_K,Pre-production,US,US,30cc,2022,ADL,1.0,15000,15000,0,4,4.0
927,Ingredient_P,Pre-production,JAPAC,JAPAC,Vial,2019,"Patheon, NC",0.6,15000,9000,6000,4,2.5
970,Ingredient_Q,Pre-production,EU,EU,Syringe,2022,AML14,0.8,15000,12000,3000,4,2.5
219,Ingredient_D,In Progress,ICON - TMEA,ICON - TMEA,Lyo Vial Kit,2022,AML1,0.25,15000,3750,11250,4,4.0
387,Ingredient_H,In Progress,JAPAC,JAPAC,Syringe,2023,Bushu,0.35,15000,5250,9750,4,4.0
1315,Ingredient_T,In Progress,US,US,Vial,2022,AML1,0.25,15000,3750,11250,4,2.5
634,Ingredient_L,Post-production,Global,Global,Global Post-production,2023,ARI5,1.0,15000,15000,0,4,4.0
1193,Ingredient_R,In Progress,US,US,Syringe,2020,AML1,0.25,15000,3750,11250,4,2.5
221,Ingredient_D,In Progress,JAPAC,JAPAC,Lyo Vial Kit,2019,Bushu,0.35,15000,5250,9750,4,4.0
646,Ingredient_L,In Progress,ICON - TMEA,ICON - TMEA,Vial,2023,ABR,0.65,15000,9750,5250,4,4.0
372,Ingredient_H,In Progress,EU,EU,Syringe,2021,ABR,0.65,15000,9750,5250,4,4.0
629,Ingredient_L,Pre-production,US,US,Vial,2023,AML14,0.8,15000,12000,3000,4,4.0
1060,Ingredient_Q,In Progress,JAPAC,JAPAC,Vial,2022,AML1,0.25,15000,3750,11250,4,2.5
1171,Ingredient_R,In Progress,JAPAC,JAPAC,Auto Injector,2019,Bushu,0.35,15000,5250,9750,4,2.5
914,Ingredient_P,Pre-production,EU,EU,Vial,2021,AML14,0.8,15000,12000,3000,4,2.5
1300,Ingredient_T,In Progress,ICON - LACAN,ICON - LACAN,Vial,2022,AML1,0.25,15000,3750,11250,4,2.5
91,Ingredient_B,In Progress,JAPAC,JAPAC,Auto Injector,2020,AML1,0.25,15000,3750,11250,4,4.0
756,Ingredient_N,Pre-production,ICON - LACAN,ICON - LACAN,Syringe,2023,AML14,0.8,15000,12000,3000,4,2.5
740,Ingredient_M,In Progress,US,US,Syringe,2022,AML1,0.25,15000,3750,11250,4,2.5
298,Ingredient_F,In Progress,ICON - LACAN,ICON - LACAN,Auto Injector,2021,AML1,0.25,15000,3750,11250,4,4.0
88,Ingredient_B,In Progress,ICON - TMEA,ICON - TMEA,Syringe,2021,ABR,0.65,15000,9750,5250,4,4.0
796,Ingredient_N,Post-production,Global,Global,Global Post-production,2023,AML7,0.25,15000,3750,11250,4,2.5
1262,Ingredient_T,Pre-production,EU,EU,Vial,2019,AML14,0.8,15000,12000,3000,4,2.5
1124,Ingredient_R,Pre-production,US,US,Pushtronex,2021,"Patheon, IT",0.6,15000,9000,6000,4,2.5
1131,Ingredient_R,Pre-production,US,US,Syringe,2023,AML14,0.8,15000,12000,3000,4,2.5
1203,Ingredient_S,Pre-production,EU,EU,Capsule,2020,"Patheon, CA",0.6,15000,9000,6000,4,2.5
887,Ingredient_O,In Progress,EU,EU,Lyo Vial Kit,2019,ABR,0.65,15000,9750,5250,4,2.5
562,Ingredient_K,In Progress,ICON - LACAN,ICON - LACAN,10cc,2023,AML1,0.25,15000,3750,11250,4,4.0
238,Ingredient_E,Pre-production,US,US,Solution/Ampule,2021,"Catalent, IL",0.98,15000,14700,300,4,4.0
1198,Ingredient_S,Pre-production,EU,EU,Blister,2020,AML23,0.25,15000,3750,11250,4,2.5
1146,Ingredient_R,In Progress,EU,EU,Pushtronex,2023,"PCI, US",0.3,15000,4500,10500,4,2.5
923,Ingredient_P,Pre-production,ICON - TMEA,ICON - TMEA,Vial,2020,"Patheon, NC",0.6,15000,9000,6000,4,2.5
1184,Ingredient_R,In Progress,US,US,Auto Injector,2021,AML1,0.25,15000,3750,11250,4,2.5
108,Ingredient_C,Pre-production,EU,EU,Syringe,2021,AML14,0.8,15000,12000,3000,4,4.0
416,Ingredient_I,In Progress,US,US,Vial,2022,LDC,0.35,15000,5250,9750,4,4.0
604,Ingredient_K,In Progress,US,US,50cc,2020,AML1,0.25,15000,3750,11250,4,4.0
68,Ingredient_B,In Progress,EU,EU,Syringe,2019,ABR,0.65,15000,9750,5250,4,4.0
866,Ingredient_O,Pre-production,ICON - TMEA,ICON - TMEA,Lyo Vial Kit,2023,ADL PM2,1.0,15000,15000,0,4,2.5
309,Ingredient_F,In Progress,ICON - LACAN,ICON - LACAN,Syringe,2022,AML1,0.25,15000,3750,11250,4,4.0
175,Ingredient_C,In Progress,US,US,Vial,2023,AML1,0.25,15000,3750,11250,4,4.0
267,Ingredient_F,Pre-production,ICON - LACAN,ICON - LACAN,Syringe,2020,AML14,0.8,15000,12000,3000,4,4.0
679,Ingredient_M,Pre-production,ICON - TMEA,ICON - TMEA,Syringe,2021,AML14,0.8,15000,12000,3000,4,2.5
584,Ingredient_K,In Progress,JAPAC,JAPAC,30cc,2020,AML1,0.25,15000,3750,11250,4,4.0
274,Ingredient_F,Pre-production,US,US,Auto Injector,2022,AML14,0.8,15000,12000,3000,4,4.0
796,Ingredient_N,Post-production,Global,Global,Global Post-production,2023,AML7,0.25,15000,3750,11250,4,2.5
108,Ingredient_C,Pre-production,EU,EU,Syringe,2021,AML14,0.8,15000,12000,3000,4,4.0
1276,Ingredient_T,Pre-production,ICON - TMEA,ICON - TMEA,Vial,2023,AML14,0.8,15000,12000,3000,4,2.5
608,Ingredient_L,Pre-production,EU,EU,Vial,2020,AML14,0.8,15000,12000,3000,4,4.0
725,Ingredient_M,In Progress,ICON - TMEA,ICON - TMEA,Syringe,2022,ABR,0.65,15000,9750,5250,4,2.5
665,Ingredient_M,Pre-production,EU,EU,Syringe,2022,AML14,0.8,15000,12000,3000,4,2.5
468,Ingredient_J,In Progress,US,US,Lyo Vial Kit,2019,AML1,0.25,15000,3750,11250,4,4.0
418,Ingredient_J,Pre-production,EU,EU,Lyo Vial Kit,2019,ADL,1.0,15000,15000,0,4,4.0
865,Ingredient_O,Pre-production,ICON - TMEA,ICON - TMEA,Lyo Vial Kit,2022,ADL PM2,1.0,15000,15000,0,4,2.5
1072,Ingredient_R,Pre-production,EU,EU,Auto Injector,2019,AML14,0.8,15000,12000,3000,4,2.5
874,Ingredient_O,Pre-production,US,US,"Lyo Vial or Lyo Vial Kit, 250ug and 500ug",2021,ADL PM2,1.0,15000,15000,0,4,2.5
425,Ingredient_J,Pre-production,ICON - LACAN,ICON - LACAN,Lyo Vial Kit,2022,"Actavis, IT",0.98,15000,14700,300,4,4.0
1189,Ingredient_R,In Progress,US,US,Pushtronex,2021,"PCI, US",0.3,15000,4500,10500,4,2.5
1199,Ingredient_S,Pre-production,EU,EU,Blister,2021,AML23,0.25,15000,3750,11250,4,2.5
1009,Ingredient_Q,Pre-production,US,US,Syringe,2021,AML14,0.8,15000,12000,3000,4,2.5
976,Ingredient_Q,Pre-production,EU,EU,Vial,2023,AML14,0.8,15000,12000,3000,4,2.5
321,Ingredient_F,In Progress,US,US,Reusable Auto Injector,2019,AML1,0.25,15000,3750,11250,4,4.0
1201,Ingredient_S,Pre-production,EU,EU,Blister,2023,AML23,0.25,15000,3750,11250,4,2.5
1088,Ingredient_R,Pre-production,ICON - LACAN,ICON - LACAN,Auto Injector,2020,AML14,0.8,15000,12000,3000,4,2.5
157,Ingredient_C,In Progress,ICON - TMEA,ICON - TMEA,Syringe,2020,ABR,0.65,15000,9750,5250,4,4.0
819,Ingredient_N,In Progress,ICON - TMEA,ICON - TMEA,Syringe,2021,ABR,0.65,15000,9750,5250,4,2.5
844,Ingredient_N,In Progress,US,US,Vial,2021,AML1,0.25,15000,3750,11250,4,2.5
120,Ingredient_C,Pre-production,ICON - TMEA,ICON - TMEA,Syringe,2023,AML14,0.8,15000,12000,3000,4,4.0
1110,Ingredient_R,Pre-production,JAPAC,JAPAC,Auto Injector,2023,AML14,0.8,15000,12000,3000,4,2.5
69,Ingredient_B,In Progress,EU,EU,Syringe,2020,ABR,0.65,15000,9750,5250,4,4.0
673,Ingredient_M,Pre-production,ICON - LACAN,ICON - LACAN,Syringe,2020,AML14,0.8,15000,12000,3000,4,2.5
765,Ingredient_N,Pre-production,ICON - TMEA,ICON - TMEA,Syringe,2022,AML14,0.8,15000,12000,3000,4,2.5
1218,Ingredient_S,Pre-production,JAPAC,JAPAC,Blister,2020,AML23,0.25,15000,3750,11250,4,2.5
1079,Ingredient_R,Pre-production,EU,EU,Pushtronex,2021,"Patheon, IT",0.6,15000,9000,6000,4,2.5
849,Ingredient_O,Pre-production,EU,EU,"Lyo Vial or Lyo Vial Kit, 250ug and 500ug",2021,ADL PM2,1.0,15000,15000,0,4,2.5
178,Ingredient_D,Pre-production,EU,EU,Lyo Vial Kit,2021,ADL PM2,1.0,15000,15000,0,4,4.0
901,Ingredient_O,In Progress,ICON - TMEA,ICON - TMEA,Lyo Vial Kit,2023,ABR,0.65,15000,9750,5250,4,2.5
247,Ingredient_E,In Progress,US,US,Bottle,2020,AML23,0.25,15000,3750,11250,4,4.0
1111,Ingredient_R,Pre-production,JAPAC,JAPAC,Pushtronex,2019,"Patheon, IT",0.6,15000,9000,6000,4,2.5
681,Ingredient_M,Pre-production,ICON - TMEA,ICON - TMEA,Syringe,2023,AML14,0.8,15000,12000,3000,4,2.5
758,Ingredient_N,Pre-production,ICON - LACAN,ICON - LACAN,Vial,2020,AML14,0.8,15000,12000,3000,4,2.5
229,Ingredient_D,In Progress,US,US,Lyo Vial Kit,2022,AML1,0.25,15000,3750,11250,4,4.0
280,Ingredient_F,Pre-production,US,US,Lyo Vial Kit,2023,ADL PM2,1.0,15000,15000,0,4,4.0
1107,Ingredient_R,Pre-production,JAPAC,JAPAC,Auto Injector,2020,AML14,0.8,15000,12000,3000,4,2.5
0,Ingredient_A,Pre-production,JAPAC,JAPAC,Auto Injector,2022,AML14,0.8,15000,12000,3000,4,4.0
107,Ingredient_C,Pre-production,EU,EU,Syringe,2020,AML14,0.8,15000,12000,3000,4,4.0
97,Ingredient_B,In Progress,JAPAC,JAPAC,Syringe,2022,AML1,0.25,15000,3750,11250,4,4.0
379,Ingredient_H,In Progress,ICON - TMEA,ICON - TMEA,Syringe,2020,AML1,0.25,15000,3750,11250,4,4.0
1128,Ingredient_R,Pre-production,US,US,Syringe,2020,AML14,0.8,15000,12000,3000,4,2.5
124,Ingredient_C,Pre-production,JAPAC,JAPAC,Syringe,2022,AML14,0.8,15000,12000,3000,4,4.0
1249,Ingredient_S,In Progress,ICON - TMEA,ICON - TMEA,Blister,2021,"PCI, UK",0.3,15000,4500,10500,4,2.5
616,Ingredient_L,Pre-production,ICON - LACAN,ICON - LACAN,Vial,2023,"Patheon, NC",0.6,15000,9000,6000,4,4.0
1079,Ingredient_R,Pre-production,EU,EU,Pushtronex,2021,"Patheon, IT",0.6,15000,9000,6000,4,2.5
1172,Ingredient_R,In Progress,JAPAC,JAPAC,Auto Injector,2020,Bushu,0.35,15000,5250,9750,4,2.5
1205,Ingredient_S,Pre-production,EU,EU,Capsule,2022,"Patheon, CA",0.6,15000,9000,6000,4,2.5
211,Ingredient_D,In Progress,ICON - LACAN,ICON - LACAN,Lyo Vial Kit,2019,AML1,0.25,15000,3750,11250,4,4.0
89,Ingredient_B,In Progress,ICON - TMEA,ICON - TMEA,Syringe,2022,ABR,0.65,15000,9750,5250,4,4.0
792,Ingredient_N,Post-production,Global,Global,Global Post-production,2019,AML7,0.25,15000,3750,11250,4,2.5
