,Unnamed: 0,Product,Stage,SecSite,Region,Presentation,Year,Site,%Protected,TotalRev,RevProtected,RevUnprotected,Target,Actual
504,504,ProductK,DP,ICON - TMEA,ICON - TMEA,50cc,2020,"Patheon, NC",0.6,15000,9000,6000,4,4.0
1227,1227,ProductS,DS,Global,Global,Global DS,2019,Sumitomo,1.0,15000,15000,0,4,2.5
148,148,ProductC,FDP,EU,EU,Syringe,2021,ABR,0.65,15000,9750,5250,4,4.0
362,362,ProductH,DP,US,US,Syringe,2019,"Patheon, IT",0.6,15000,9000,6000,4,4.0
629,629,ProductL,DP,US,US,Vial,2023,AML14,0.8,15000,12000,3000,4,4.0
949,949,ProductP,FDP,ICON - LACAN,ICON - LACAN,Vial,2021,AML1,0.25,15000,3750,11250,4,2.5
832,832,ProductN,FDP,JAPAC,JAPAC,Vial,2019,AML1,0.25,15000,3750,11250,4,2.5
78,78,ProductB,FDP,ICON - LACAN,ICON - LACAN,Syringe,2021,AML1,0.25,15000,3750,11250,4,4.0
1252,1252,ProductS,FDP,JAPAC,JAPAC,Blister,2019,"PCI, UK",0.3,15000,4500,10500,4,2.5
161,161,ProductC,FDP,JAPAC,JAPAC,Syringe,2019,AML1,0.25,15000,3750,11250,4,4.0
1175,1175,ProductR,FDP,JAPAC,JAPAC,Auto Injector,2023,Bushu,0.35,15000,5250,9750,4,2.5
484,484,ProductK,DP,EU,EU,50cc,2020,ADL,1.0,15000,15000,0,4,4.0
1167,1167,ProductR,FDP,ICON - TMEA,ICON - TMEA,Syringe,2020,ABR,0.65,15000,9750,5250,4,2.5
104,104,ProductC,DP,EU,EU,Auto Injector,2022,AML14,0.8,15000,12000,3000,4,4.0
959,959,ProductP,FDP,JAPAC,JAPAC,Vial,2021,AML1,0.25,15000,3750,11250,4,2.5
51,51,ProductB,DP,JAPAC,JAPAC,Syringe,2020,AML14,0.8,15000,12000,3000,4,4.0
48,48,ProductB,DP,JAPAC,JAPAC,Auto Injector,2021,AML14,0.8,15000,12000,3000,4,4.0
869,869,ProductO,DP,JAPAC,JAPAC,Lyo Vial Kit,2021,ADL PM2,1.0,15000,15000,0,4,2.5
840,840,ProductN,FDP,US,US,Syringe,2022,AML1,0.25,15000,3750,11250,4,2.5
207,207,ProductD,FDP,EU,EU,Lyo Vial Kit,2020,ABR,0.65,15000,9750,5250,4,4.0
46,46,ProductB,DP,ICON - TMEA,ICON - TMEA,Syringe,2023,AML14,0.8,15000,12000,3000,4,4.0
421,421,ProductJ,DP,EU,EU,Lyo Vial Kit,2022,ADL,1.0,15000,15000,0,4,4.0
697,697,ProductM,DS,Global,Global,Global DS,2019,AML7,0.25,15000,3750,11250,4,2.5
799,799,ProductN,FDP,EU,EU,Syringe,2021,ABR,0.65,15000,9750,5250,4,2.5
129,129,ProductC,DP,US,US,Syringe,2022,AML14,0.8,15000,12000,3000,4,4.0
264,264,ProductF,DP,ICON - LACAN,ICON - LACAN,Lyo Vial Kit,2022,AML14,0.8,15000,12000,3000,4,4.0
1213,1213,ProductS,DP,ICON - TMEA,ICON - TMEA,Blister,2020,AML23,0.25,15000,3750,11250,4,2.5
7,7,ProductA,DS,Global,Global,Global DS,2019,ATO23,1.0,15000,15000,0,4,4.0
198,198,ProductD,DP,US,US,Lyo Vial Kit,2021,ADL PM2,1.0,15000,15000,0,4,4.0
1127,1127,ProductR,DP,US,US,Syringe,2019,AML14,0.8,15000,12000,3000,4,2.5
1000,1000,ProductQ,DP,JAPAC,JAPAC,Syringe,2022,AML14,0.8,15000,12000,3000,4,2.5
983,983,ProductQ,DP,ICON - LACAN,ICON - LACAN,Vial,2020,AML14,0.8,15000,12000,3000,4,2.5
21,21,ProductB,DP,EU,EU,Auto Injector,2021,AML14,0.8,15000,12000,3000,4,4.0
585,585,ProductK,FDP,JAPAC,JAPAC,30cc,2021,AML1,0.25,15000,3750,11250,4,4.0
682,682,ProductM,DP,JAPAC,JAPAC,Syringe,2019,AML14,0.8,15000,12000,3000,4,2.5
602,602,ProductK,FDP,US,US,30cc,2023,AML1,0.25,15000,3750,11250,4,4.0
800,800,ProductN,FDP,EU,EU,Syringe,2022,ABR,0.65,15000,9750,5250,4,2.5
54,54,ProductB,DP,JAPAC,JAPAC,Syringe,2023,AML14,0.8,15000,12000,3000,4,4.0
601,601,ProductK,FDP,US,US,30cc,2022,AML1,0.25,15000,3750,11250,4,4.0
1136,1136,ProductR,DS,Global,Global,Global DS,2023,AML6,0.25,15000,3750,11250,4,2.5
1148,1148,ProductR,FDP,EU,EU,Syringe,2020,ABR,0.65,15000,9750,5250,4,2.5
187,187,ProductD,DP,ICON - TMEA,ICON - TMEA,Lyo Vial Kit,2020,ADL PM2,1.0,15000,15000,0,4,4.0
1200,1200,ProductS,DP,EU,EU,Blister,2022,AML23,0.25,15000,3750,11250,4,2.5
854,854,ProductO,DP,EU,EU,Lyo Vial or Lyo Vial Kit; 125ug SKU,2021,"Patheon, IT",0.6,15000,9000,6000,4,2.5
270,270,ProductF,DP,ICON - LACAN,ICON - LACAN,Syringe,2023,AML14,0.8,15000,12000,3000,4,4.0
133,133,ProductC,DP,US,US,Vial,2021,AML14,0.8,15000,12000,3000,4,4.0
1167,1167,ProductR,FDP,ICON - TMEA,ICON - TMEA,Syringe,2020,ABR,0.65,15000,9750,5250,4,2.5
383,383,ProductH,FDP,JAPAC,JAPAC,Syringe,2019,Bushu,0.35,15000,5250,9750,4,4.0
520,520,ProductK,DP,JAPAC,JAPAC,50cc,2021,"Patheon, NC",0.6,15000,9000,6000,4,4.0
321,321,ProductF,FDP,US,US,Reusable Auto Injector,2019,AML1,0.25,15000,3750,11250,4,4.0
1185,1185,ProductR,FDP,US,US,Auto Injector,2022,AML1,0.25,15000,3750,11250,4,2.5
266,266,ProductF,DP,ICON - LACAN,ICON - LACAN,Syringe,2019,AML14,0.8,15000,12000,3000,4,4.0
1256,1256,ProductS,FDP,JAPAC,JAPAC,Blister,2023,"PCI, UK",0.3,15000,4500,10500,4,2.5
621,621,ProductL,DP,JAPAC,JAPAC,Vial,2020,"Patheon, NC",0.6,15000,9000,6000,4,4.0
1185,1185,ProductR,FDP,US,US,Auto Injector,2022,AML1,0.25,15000,3750,11250,4,2.5
431,431,ProductJ,DP,ICON - TMEA,ICON - TMEA,Lyo Vial Kit,2023,ADL,1.0,15000,15000,0,4,4.0
1118,1118,ProductR,DP,US,US,Auto Injector,2020,AML14,0.8,15000,12000,3000,4,2.5
1092,1092,ProductR,DP,ICON - LACAN,ICON - LACAN,Pushtronex,2019,"Patheon, IT",0.6,15000,9000,6000,4,2.5
19,19,ProductB,DP,EU,EU,Auto Injector,2019,AML14,0.8,15000,12000,3000,4,4.0
775,775,ProductN,DP,JAPAC,JAPAC,Syringe,2022,AML14,0.8,15000,12000,3000,4,2.5
596,596,ProductK,FDP,US,US,10cc,2022,AML1,0.25,15000,3750,11250,4,4.0
1090,1090,ProductR,DP,ICON - LACAN,ICON - LACAN,Auto Injector,2022,AML14,0.8,15000,12000,3000,4,2.5
636,636,ProductL,FDP,EU,EU,Vial,2021,ABR,0.65,15000,9750,5250,4,4.0
916,916,ProductP,DP,EU,EU,Vial,2023,AML14,0.8,15000,12000,3000,4,2.5
744,744,ProductN,DP,EU,EU,Syringe,2021,AML14,0.8,15000,12000,3000,4,2.5
1060,1060,ProductQ,FDP,JAPAC,JAPAC,Vial,2022,AML1,0.25,15000,3750,11250,4,2.5
461,461,ProductJ,FDP,ICON - TMEA,ICON - TMEA,Lyo Vial Kit,2022,ABR,0.65,15000,9750,5250,4,4.0
926,926,ProductP,DP,ICON - TMEA,ICON - TMEA,Vial,2023,AML14,0.8,15000,12000,3000,4,2.5
332,332,ProductG,DP,US,US,Vial,2020,AML14,0.8,15000,12000,3000,4,4.0
1199,1199,ProductS,DP,EU,EU,Blister,2021,AML23,0.25,15000,3750,11250,4,2.5
96,96,ProductB,FDP,JAPAC,JAPAC,Syringe,2021,AML1,0.25,15000,3750,11250,4,4.0
518,518,ProductK,DP,JAPAC,JAPAC,50cc,2019,"Patheon, NC",0.6,15000,9000,6000,4,4.0
549,549,ProductK,FDP,EU,EU,30cc,2020,ABR,0.65,15000,9750,5250,4,4.0
956,956,ProductP,FDP,ICON - TMEA,ICON - TMEA,Vial,2023,ABR,0.65,15000,9750,5250,4,2.5
712,712,ProductM,FDP,ICON - LACAN,ICON - LACAN,OnPro,2019,AML1,0.25,15000,3750,11250,4,2.5
1270,1270,ProductT,DP,ICON - LACAN,ICON - LACAN,Vial,2022,AML14,0.8,15000,12000,3000,4,2.5
327,327,ProductF,FDP,US,US,Syringe,2020,AML1,0.25,15000,3750,11250,4,4.0
214,214,ProductD,FDP,ICON - LACAN,ICON - LACAN,Lyo Vial Kit,2022,AML1,0.25,15000,3750,11250,4,4.0
240,240,ProductE,DP,US,US,Solution/Ampule,2023,"Catalent, IL",0.98,15000,14700,300,4,4.0
913,913,ProductP,DP,EU,EU,Vial,2020,AML14,0.8,15000,12000,3000,4,2.5
1134,1134,ProductR,DS,Global,Global,Global DS,2021,AML6,0.25,15000,3750,11250,4,2.5
921,921,ProductP,DP,ICON - LACAN,ICON - LACAN,Vial,2023,AML14,0.8,15000,12000,3000,4,2.5
281,281,ProductF,DP,US,US,Reusable Auto Injector,2019,AML14,0.8,15000,12000,3000,4,4.0
673,673,ProductM,DP,ICON - LACAN,ICON - LACAN,Syringe,2020,AML14,0.8,15000,12000,3000,4,2.5
952,952,ProductP,FDP,ICON - TMEA,ICON - TMEA,Vial,2019,ABR,0.65,15000,9750,5250,4,2.5
887,887,ProductO,FDP,EU,EU,Lyo Vial Kit,2019,ABR,0.65,15000,9750,5250,4,2.5
753,753,ProductN,DP,ICON - LACAN,ICON - LACAN,Syringe,2020,AML14,0.8,15000,12000,3000,4,2.5
1142,1142,ProductR,FDP,EU,EU,Pushtronex,2019,"PCI, US",0.3,15000,4500,10500,4,2.5
865,865,ProductO,DP,ICON - TMEA,ICON - TMEA,Lyo Vial Kit,2022,ADL PM2,1.0,15000,15000,0,4,2.5
286,286,ProductF,DP,US,US,Syringe,2019,AML14,0.8,15000,12000,3000,4,4.0
1133,1133,ProductR,DS,Global,Global,Global DS,2020,ARI5,1.0,15000,15000,0,4,2.5
1152,1152,ProductR,FDP,ICON - LACAN,ICON - LACAN,Auto Injector,2019,AML1,0.25,15000,3750,11250,4,2.5
555,555,ProductK,FDP,EU,EU,50cc,2021,ABR,0.65,15000,9750,5250,4,4.0
129,129,ProductC,DP,US,US,Syringe,2022,AML14,0.8,15000,12000,3000,4,4.0
794,794,ProductN,DS,Global,Global,Global DS,2021,AML7,0.25,15000,3750,11250,4,2.5
1154,1154,ProductR,FDP,ICON - LACAN,ICON - LACAN,Auto Injector,2021,AML1,0.25,15000,3750,11250,4,2.5
1257,1257,ProductS,FDP,US,US,Bottle,2019,AML23,0.25,15000,3750,11250,4,2.5
1073,1073,ProductR,DP,EU,EU,Auto Injector,2020,AML14,0.8,15000,12000,3000,4,2.5
828,828,ProductN,FDP,JAPAC,JAPAC,Syringe,2020,AML1,0.25,15000,3750,11250,4,2.5
711,711,ProductM,FDP,EU,EU,Syringe,2023,ABR,0.65,15000,9750,5250,4,2.5
1292,1292,ProductT,FDP,EU,EU,Vial,2019,ABR,0.65,15000,9750,5250,4,2.5
1113,1113,ProductR,DP,JAPAC,JAPAC,Pushtronex,2021,"Patheon, IT",0.6,15000,9000,6000,4,2.5
353,353,ProductH,DP,ICON - TMEA,ICON - TMEA,Syringe,2020,"Patheon, IT",0.6,15000,9000,6000,4,4.0
360,360,ProductH,DP,JAPAC,JAPAC,Syringe,2022,"Patheon, IT",0.6,15000,9000,6000,4,4.0
150,150,ProductC,FDP,EU,EU,Syringe,2023,ABR,0.65,15000,9750,5250,4,4.0
206,206,ProductD,FDP,EU,EU,Lyo Vial Kit,2019,ABR,0.65,15000,9750,5250,4,4.0
136,136,ProductC,DS,Global,Global,Global DS,2019,AML6,0.25,15000,3750,11250,4,4.0
578,578,ProductK,FDP,JAPAC,JAPAC,10cc,2019,AML1,0.25,15000,3750,11250,4,4.0
292,292,ProductF,DS,Global,Global,Global DS,2020,AML6,0.25,15000,3750,11250,4,4.0
905,905,ProductO,FDP,JAPAC,JAPAC,Lyo Vial Kit,2022,ABR,0.65,15000,9750,5250,4,2.5
1163,1163,ProductR,FDP,ICON - TMEA,ICON - TMEA,Auto Injector,2020,ABR,0.65,15000,9750,5250,4,2.5
764,764,ProductN,DP,ICON - TMEA,ICON - TMEA,Syringe,2021,AML14,0.8,15000,12000,3000,4,2.5
882,882,ProductO,DS,Global,Global,Global DS,2019,AML7,0.25,15000,3750,11250,4,2.5
788,788,ProductN,DP,US,US,Vial,2020,AML14,0.8,15000,12000,3000,4,2.5
1022,1022,ProductQ,FDP,EU,EU,Syringe,2019,ABR,0.65,15000,9750,5250,4,2.5
119,119,ProductC,DP,ICON - TMEA,ICON - TMEA,Syringe,2022,AML14,0.8,15000,12000,3000,4,4.0
409,409,ProductI,FDP,EU,EU,Vial,2020,LDC,0.35,15000,5250,9750,4,4.0
81,81,ProductB,FDP,ICON - TMEA,ICON - TMEA,Auto Injector,2019,ABR,0.65,15000,9750,5250,4,4.0
547,547,ProductK,FDP,EU,EU,10cc,2023,ABR,0.65,15000,9750,5250,4,4.0
1174,1174,ProductR,FDP,JAPAC,JAPAC,Auto Injector,2022,Bushu,0.35,15000,5250,9750,4,2.5
690,690,ProductM,DP,US,US,OnPro,2022,AML14,0.8,15000,12000,3000,4,2.5
936,936,ProductP,DP,US,US,Vial,2023,AML14,0.8,15000,12000,3000,4,2.5
180,180,ProductD,DP,EU,EU,Lyo Vial Kit,2023,ADL PM2,1.0,15000,15000,0,4,4.0
349,349,ProductH,DP,ICON - LACAN,ICON - LACAN,Syringe,2021,"Patheon, IT",0.6,15000,9000,6000,4,4.0
738,738,ProductM,FDP,US,US,Syringe,2020,AML1,0.25,15000,3750,11250,4,2.5
182,182,ProductD,DP,ICON - LACAN,ICON - LACAN,Lyo Vial Kit,2020,ADL PM2,1.0,15000,15000,0,4,4.0
1174,1174,ProductR,FDP,JAPAC,JAPAC,Auto Injector,2022,Bushu,0.35,15000,5250,9750,4,2.5
95,95,ProductB,FDP,JAPAC,JAPAC,Syringe,2020,AML1,0.25,15000,3750,11250,4,4.0
667,667,ProductM,DP,ICON - LACAN,ICON - LACAN,OnPro,2019,AML14,0.8,15000,12000,3000,4,2.5
312,312,ProductF,FDP,US,US,Auto Injector,2020,AML1,0.25,15000,3750,11250,4,4.0
1032,1032,ProductQ,FDP,ICON - LACAN,ICON - LACAN,Syringe,2019,AML1,0.25,15000,3750,11250,4,2.5
5,5,ProductA,DP,US,US,Auto Injector,2022,AML14,0.8,15000,12000,3000,4,4.0
756,756,ProductN,DP,ICON - LACAN,ICON - LACAN,Syringe,2023,AML14,0.8,15000,12000,3000,4,2.5
657,657,ProductM,DP,EU,EU,OnPro,2019,AML14,0.8,15000,12000,3000,4,2.5
394,394,ProductI,DP,EU,EU,Vial,2020,AWM,0.98,15000,14700,300,4,4.0
576,576,ProductK,FDP,ICON - TMEA,ICON - TMEA,50cc,2022,Sharp,0.35,15000,5250,9750,4,4.0
92,92,ProductB,FDP,JAPAC,JAPAC,Auto Injector,2021,AML1,0.25,15000,3750,11250,4,4.0
153,153,ProductC,FDP,ICON - LACAN,ICON - LACAN,Syringe,2021,AML1,0.25,15000,3750,11250,4,4.0
1277,1277,ProductT,DP,JAPAC,JAPAC,Vial,2019,AML14,0.8,15000,12000,3000,4,2.5
923,923,ProductP,DP,ICON - TMEA,ICON - TMEA,Vial,2020,"Patheon, NC",0.6,15000,9000,6000,4,2.5
516,516,ProductK,DP,JAPAC,JAPAC,30cc,2022,"Patheon, NC",0.6,15000,9000,6000,4,4.0
248,248,ProductE,FDP,US,US,Bottle,2021,AML23,0.25,15000,3750,11250,4,4.0
2,2,ProductA,DP,US,US,Auto Injector,2019,AML14,0.8,15000,12000,3000,4,4.0
363,363,ProductH,DP,US,US,Syringe,2020,"Patheon, IT",0.6,15000,9000,6000,4,4.0
862,862,ProductO,DP,ICON - TMEA,ICON - TMEA,Lyo Vial Kit,2019,ADL PM2,1.0,15000,15000,0,4,2.5
1173,1173,ProductR,FDP,JAPAC,JAPAC,Auto Injector,2021,Bushu,0.35,15000,5250,9750,4,2.5
1274,1274,ProductT,DP,ICON - TMEA,ICON - TMEA,Vial,2021,AML14,0.8,15000,12000,3000,4,2.5
978,978,ProductQ,DP,ICON - LACAN,ICON - LACAN,Syringe,2020,AML14,0.8,15000,12000,3000,4,2.5
780,780,ProductN,DP,JAPAC,JAPAC,Vial,2022,AML14,0.8,15000,12000,3000,4,2.5
535,535,ProductK,DP,US,US,50cc,2021,ADL,1.0,15000,15000,0,4,4.0
677,677,ProductM,DP,ICON - TMEA,ICON - TMEA,Syringe,2019,AML14,0.8,15000,12000,3000,4,2.5
703,703,ProductM,FDP,EU,EU,OnPro,2020,ABR,0.65,15000,9750,5250,4,2.5
118,118,ProductC,DP,ICON - TMEA,ICON - TMEA,Syringe,2021,AML14,0.8,15000,12000,3000,4,4.0
622,622,ProductL,DP,JAPAC,JAPAC,Vial,2021,"Patheon, NC",0.6,15000,9000,6000,4,4.0
821,821,ProductN,FDP,ICON - TMEA,ICON - TMEA,Syringe,2023,ABR,0.65,15000,9750,5250,4,2.5
434,434,ProductJ,DP,JAPAC,JAPAC,Lyo Vial Kit,2021,"Actavis, IT",0.98,15000,14700,300,4,4.0
593,593,ProductK,FDP,US,US,10cc,2019,AML1,0.25,15000,3750,11250,4,4.0
890,890,ProductO,FDP,EU,EU,Lyo Vial Kit,2022,ABR,0.65,15000,9750,5250,4,2.5
243,243,ProductE,DS,Global,Global,Global DS,2021,"FIS, IT",1.0,15000,15000,0,4,4.0
1237,1237,ProductS,FDP,EU,EU,Capsule,2019,"Anderson Bercon, UK",0.35,15000,5250,9750,4,2.5
143,143,ProductC,FDP,EU,EU,Auto Injector,2021,ABR,0.65,15000,9750,5250,4,4.0
1013,1013,ProductQ,DP,US,US,Vial,2020,AML14,0.8,15000,12000,3000,4,2.5
368,368,ProductH,DS,Global,Global,Global DS,2020,ARI5,1.0,15000,15000,0,4,4.0
1066,1066,ProductQ,FDP,US,US,Syringe,2023,AML1,0.25,15000,3750,11250,4,2.5
135,135,ProductC,DP,US,US,Vial,2023,AML14,0.8,15000,12000,3000,4,4.0
639,639,ProductL,FDP,ICON - LACAN,ICON - LACAN,Vial,2019,AML1,0.25,15000,3750,11250,4,4.0
257,257,ProductF,DP,ICON - LACAN,ICON - LACAN,Auto Injector,2020,AML14,0.8,15000,12000,3000,4,4.0
665,665,ProductM,DP,EU,EU,Syringe,2022,AML14,0.8,15000,12000,3000,4,2.5
134,134,ProductC,DP,US,US,Vial,2022,AML14,0.8,15000,12000,3000,4,4.0
306,306,ProductF,FDP,ICON - LACAN,ICON - LACAN,Syringe,2019,AML1,0.25,15000,3750,11250,4,4.0
390,390,ProductH,FDP,US,US,Syringe,2021,AML1,0.25,15000,3750,11250,4,4.0
105,105,ProductC,DP,EU,EU,Auto Injector,2023,AML14,0.8,15000,12000,3000,4,4.0
884,884,ProductO,DS,Global,Global,Global DS,2021,AML7,0.25,15000,3750,11250,4,2.5
803,803,ProductN,FDP,EU,EU,Vial,2020,ABR,0.65,15000,9750,5250,4,2.5
556,556,ProductK,FDP,EU,EU,50cc,2022,ABR,0.65,15000,9750,5250,4,4.0
985,985,ProductQ,DP,ICON - LACAN,ICON - LACAN,Vial,2022,AML14,0.8,15000,12000,3000,4,2.5
566,566,ProductK,FDP,ICON - LACAN,ICON - LACAN,30cc,2022,AML1,0.25,15000,3750,11250,4,4.0
693,693,ProductM,DP,US,US,Syringe,2020,AML14,0.8,15000,12000,3000,4,2.5
1181,1181,ProductR,FDP,JAPAC,JAPAC,Syringe,2019,AML1,0.25,15000,3750,11250,4,2.5
67,67,ProductB,FDP,EU,EU,Auto Injector,2023,ABR,0.65,15000,9750,5250,4,4.0
1037,1037,ProductQ,FDP,ICON - LACAN,ICON - LACAN,Vial,2019,AML1,0.25,15000,3750,11250,4,2.5
563,563,ProductK,FDP,ICON - LACAN,ICON - LACAN,30cc,2019,AML1,0.25,15000,3750,11250,4,4.0
1018,1018,ProductQ,DS,Global,Global,Global DS,2020,ASM1,0.4,15000,6000,9000,4,2.5
437,437,ProductJ,DP,US,US,Lyo Vial Kit,2019,ADL,1.0,15000,15000,0,4,4.0
799,799,ProductN,FDP,EU,EU,Syringe,2021,ABR,0.65,15000,9750,5250,4,2.5
756,756,ProductN,DP,ICON - LACAN,ICON - LACAN,Syringe,2023,AML14,0.8,15000,12000,3000,4,2.5
949,949,ProductP,FDP,ICON - LACAN,ICON - LACAN,Vial,2021,AML1,0.25,15000,3750,11250,4,2.5
1026,1026,ProductQ,FDP,EU,EU,Syringe,2023,ABR,0.65,15000,9750,5250,4,2.5
612,612,ProductL,DP,ICON - LACAN,ICON - LACAN,Vial,2019,"Patheon, NC",0.6,15000,9000,6000,4,4.0
503,503,ProductK,DP,ICON - TMEA,ICON - TMEA,50cc,2019,"Patheon, NC",0.6,15000,9000,6000,4,4.0
1266,1266,ProductT,DP,EU,EU,Vial,2023,AML14,0.8,15000,12000,3000,4,2.5
207,207,ProductD,FDP,EU,EU,Lyo Vial Kit,2020,ABR,0.65,15000,9750,5250,4,4.0
69,69,ProductB,FDP,EU,EU,Syringe,2020,ABR,0.65,15000,9750,5250,4,4.0
1215,1215,ProductS,DP,ICON - TMEA,ICON - TMEA,Blister,2022,AML23,0.25,15000,3750,11250,4,2.5
1313,1313,ProductT,FDP,US,US,Vial,2020,AML1,0.25,15000,3750,11250,4,2.5
446,446,ProductJ,DS,Global,Global,Global DS,2021,ARI5,1.0,15000,15000,0,4,4.0
1239,1239,ProductS,FDP,EU,EU,Capsule,2021,"Anderson Bercon, UK",0.35,15000,5250,9750,4,2.5
428,428,ProductJ,DP,ICON - TMEA,ICON - TMEA,Lyo Vial Kit,2020,ADL,1.0,15000,15000,0,4,4.0
1250,1250,ProductS,FDP,ICON - TMEA,ICON - TMEA,Blister,2022,"PCI, UK",0.3,15000,4500,10500,4,2.5
1210,1210,ProductS,DP,ICON - LACAN,ICON - LACAN,Bottle,2022,"Patheon, CA",0.6,15000,9000,6000,4,2.5
1283,1283,ProductT,DP,US,US,Vial,2020,AML14,0.8,15000,12000,3000,4,2.5
719,719,ProductM,FDP,ICON - LACAN,ICON - LACAN,Syringe,2021,AML1,0.25,15000,3750,11250,4,2.5
877,877,ProductO,DP,US,US,Lyo Vial or Lyo Vial Kit; 125ug SKU,2019,"Patheon, IT",0.6,15000,9000,6000,4,2.5
381,381,ProductH,FDP,ICON - TMEA,ICON - TMEA,Syringe,2022,AML1,0.25,15000,3750,11250,4,4.0
702,702,ProductM,FDP,EU,EU,OnPro,2019,ABR,0.65,15000,9750,5250,4,2.5
770,770,ProductN,DP,ICON - TMEA,ICON - TMEA,Vial,2022,AML14,0.8,15000,12000,3000,4,2.5
928,928,ProductP,DP,JAPAC,JAPAC,Vial,2020,"Patheon, NC",0.6,15000,9000,6000,4,2.5
1063,1063,ProductQ,FDP,US,US,Syringe,2020,AML1,0.25,15000,3750,11250,4,2.5
768,768,ProductN,DP,ICON - TMEA,ICON - TMEA,Vial,2020,AML14,0.8,15000,12000,3000,4,2.5
15,15,ProductA,FDP,US,US,Auto Injector,2020,AML1,0.25,15000,3750,11250,4,4.0
749,749,ProductN,DP,EU,EU,Vial,2021,AML14,0.8,15000,12000,3000,4,2.5
621,621,ProductL,DP,JAPAC,JAPAC,Vial,2020,"Patheon, NC",0.6,15000,9000,6000,4,4.0
77,77,ProductB,FDP,ICON - LACAN,ICON - LACAN,Auto Injector,2023,AML1,0.25,15000,3750,11250,4,4.0
542,542,ProductK,DS,Global,Global,Global DS,2023,ASM2,0.4,15000,6000,9000,4,4.0
1260,1260,ProductS,FDP,US,US,Bottle,2022,AML23,0.25,15000,3750,11250,4,2.5
512,512,ProductK,DP,JAPAC,JAPAC,10cc,2023,"Patheon, NC",0.6,15000,9000,6000,4,4.0
707,707,ProductM,FDP,EU,EU,Syringe,2019,ABR,0.65,15000,9750,5250,4,2.5
39,39,ProductB,DP,ICON - TMEA,ICON - TMEA,Auto Injector,2021,AML14,0.8,15000,12000,3000,4,4.0
179,179,ProductD,DP,EU,EU,Lyo Vial Kit,2022,ADL PM2,1.0,15000,15000,0,4,4.0
1307,1307,ProductT,FDP,JAPAC,JAPAC,Vial,2019,AML1,0.25,15000,3750,11250,4,2.5
222,222,ProductD,FDP,JAPAC,JAPAC,Lyo Vial Kit,2020,Bushu,0.35,15000,5250,9750,4,4.0
1214,1214,ProductS,DP,ICON - TMEA,ICON - TMEA,Blister,2021,AML23,0.25,15000,3750,11250,4,2.5
162,162,ProductC,FDP,JAPAC,JAPAC,Syringe,2020,AML1,0.25,15000,3750,11250,4,4.0
1203,1203,ProductS,DP,EU,EU,Capsule,2020,"Patheon, CA",0.6,15000,9000,6000,4,2.5
874,874,ProductO,DP,US,US,"Lyo Vial or Lyo Vial Kit, 250ug and 500ug",2021,ADL PM2,1.0,15000,15000,0,4,2.5
852,852,ProductO,DP,EU,EU,Lyo Vial or Lyo Vial Kit; 125ug SKU,2019,"Patheon, IT",0.6,15000,9000,6000,4,2.5
524,524,ProductK,DP,US,US,10cc,2020,"Patheon, NC",0.6,15000,9000,6000,4,4.0
28,28,ProductB,DP,EU,EU,Syringe,2023,AML14,0.8,15000,12000,3000,4,4.0
547,547,ProductK,FDP,EU,EU,10cc,2023,ABR,0.65,15000,9750,5250,4,4.0
53,53,ProductB,DP,JAPAC,JAPAC,Syringe,2022,AML14,0.8,15000,12000,3000,4,4.0
652,652,ProductL,FDP,US,US,Vial,2019,AML1,0.25,15000,3750,11250,4,4.0
933,933,ProductP,DP,US,US,Vial,2020,AML14,0.8,15000,12000,3000,4,2.5
1236,1236,ProductS,FDP,EU,EU,Blister,2023,"PCI, UK",0.3,15000,4500,10500,4,2.5
296,296,ProductF,FDP,ICON - LACAN,ICON - LACAN,Auto Injector,2019,AML1,0.25,15000,3750,11250,4,4.0
1237,1237,ProductS,FDP,EU,EU,Capsule,2019,"Anderson Bercon, UK",0.35,15000,5250,9750,4,2.5
872,872,ProductO,DP,US,US,"Lyo Vial or Lyo Vial Kit, 250ug and 500ug",2019,ADL PM2,1.0,15000,15000,0,4,2.5
691,691,ProductM,DP,US,US,OnPro,2023,AML14,0.8,15000,12000,3000,4,2.5
157,157,ProductC,FDP,ICON - TMEA,ICON - TMEA,Syringe,2020,ABR,0.65,15000,9750,5250,4,4.0
1037,1037,ProductQ,FDP,ICON - LACAN,ICON - LACAN,Vial,2019,AML1,0.25,15000,3750,11250,4,2.5
607,607,ProductK,FDP,US,US,50cc,2023,AML1,0.25,15000,3750,11250,4,4.0
90,90,ProductB,FDP,ICON - TMEA,ICON - TMEA,Syringe,2023,ABR,0.65,15000,9750,5250,4,4.0
682,682,ProductM,DP,JAPAC,JAPAC,Syringe,2019,AML14,0.8,15000,12000,3000,4,2.5
1138,1138,ProductR,FDP,EU,EU,Auto Injector,2020,ABR,0.65,15000,9750,5250,4,2.5
446,446,ProductJ,DS,Global,Global,Global DS,2021,ARI5,1.0,15000,15000,0,4,4.0
476,476,ProductK,DP,EU,EU,10cc,2022,"Patheon, NC",0.6,15000,9000,6000,4,4.0
662,662,ProductM,DP,EU,EU,Syringe,2019,AML14,0.8,15000,12000,3000,4,2.5
315,315,ProductF,FDP,US,US,Auto Injector,2023,AML1,0.25,15000,3750,11250,4,4.0
1035,1035,ProductQ,FDP,ICON - LACAN,ICON - LACAN,Syringe,2022,AML1,0.25,15000,3750,11250,4,2.5
